ID, Temp C
0,25.88
1,25.39
2,25.39
3,25.39
4,25.39
5,25.39
6,25.39
7,25.39
8,25.39
9,25.39
10,25.39
11,25.39
12,25.39
13,25.39
14,25.39
15,25.39
16,25.39
17,25.39
18,25.39
19,25.39
20,25.39
21,25.39
22,25.39
23,24.9
24,24.9
25,24.9
26,24.9
27,25.39
28,24.9
29,24.9
30,24.9
31,25.39
32,24.9
33,25.39
34,24.9
35,25.39
36,24.9
37,24.9
38,25.39
39,24.9
40,25.39
41,25.39
42,25.39
43,25.39
44,24.9
45,24.9
46,25.39
47,25.39
48,24.9
49,25.39
50,25.39
51,24.9
52,24.9
53,25.39
54,25.39
55,25.39
56,24.9
57,25.39
58,24.9
59,25.39
60,25.39
61,24.9
62,25.39
63,24.9
64,25.39
65,25.39
66,25.39
67,25.39
68,25.39
69,25.39
70,25.39
71,25.39
72,25.39
73,25.39
74,25.39
75,25.39
76,25.39
77,25.39
78,25.39
79,25.39
80,25.39
81,25.39
82,25.39
83,25.39
84,25.39
85,25.39
86,25.39
87,25.39
88,25.39
89,25.39
90,25.39
91,25.39
92,25.39
93,25.39
94,25.39
95,25.39
96,25.39
97,25.39
98,25.39
99,25.39
100,25.39
101,25.39
102,25.39
103,25.39
104,25.39
105,25.39
106,25.39
107,25.39
108,25.39
109,25.39
110,25.39
111,25.39
112,25.39
113,25.39
114,25.39
115,25.39
116,25.39
117,25.39
118,25.39
119,25.39
120,25.39
121,25.39
122,25.39
123,25.39
124,25.39
125,25.39
126,25.39
127,25.39
128,25.39
129,25.39
130,25.39
131,25.39
132,25.39
133,25.39
134,25.39
135,25.39
136,25.39
137,25.39
138,25.39
139,25.39
140,25.39
141,25.39
142,25.39
143,25.39
144,25.39
145,25.39
146,25.39
147,25.39
148,25.39
149,25.39
150,25.39
151,25.39
152,25.39
153,25.39
154,25.39
155,25.39
156,25.39
157,25.39
158,25.39
159,25.39
160,25.39
161,25.39
162,25.39
163,25.39
164,25.39
165,25.39
166,25.39
167,25.39
168,25.39
169,25.39
170,25.39
171,25.39
172,25.39
173,25.39
174,25.39
175,25.39
176,25.39
177,25.39
178,25.39
179,25.39
180,25.39
181,25.39
182,25.39
183,25.39
184,25.39
185,25.39
186,25.39
187,25.39
188,25.39
189,25.39
190,25.39
191,25.39
192,25.39
193,25.39
194,25.39
195,25.39
196,25.39
197,25.39
198,25.39
199,25.39
200,25.39
201,25.39
202,25.39
203,25.39
204,25.39
205,25.39
206,25.39
207,25.39
208,25.39
209,25.39
210,25.39
211,25.39
212,25.39
213,25.39
214,25.39
215,25.39
216,25.39
217,25.39
218,25.39
219,24.9
220,24.9
221,24.9
222,25.39
223,25.39
224,24.9
225,24.9
226,24.9
227,24.9
228,24.9
229,25.39
230,24.9
231,24.9
232,24.9
233,24.9
234,24.9
235,24.9
236,24.9
237,24.9
238,25.39
239,24.9
240,25.39
241,25.39
242,24.9
243,24.9
244,25.39
245,24.9
246,24.9
247,25.39
248,25.39
249,24.9
250,25.39
251,25.39
252,25.39
253,25.39
254,25.39
255,25.39
